-----------------------------------------------------------------------------------------------------
N      Brute Force             Binary Search           Hash Set                Sorting and Sweeping  
7600     0.1777235389999987      0.0012650000000000716   0.00014143599999982825  0.0019198100000004104 
7700     0.012859157000001176    0.0008003250000001572   0.00014124300000162293  0.0024204419999982463 
7800     0.017008041000000418    0.0009209190000021295   0.00013601299999876915  0.0018907299999995075 
7900     0.007395660000000248    0.001028420000000807    0.0002287000000009698   0.001987019999997841  
8000     0.004691969999999657    0.0007846140000005164   0.0008544189999994956   0.0027238549999992756 
8100     0.005717578999998807    0.0008166900000006194   0.0001347460000005185   0.0020093469999977742 
8200     0.006348142000000223    0.0008521980000004703   0.0001615530000016463   0.001987802000002148  
8300     0.005184064999998128    0.0007740829999995924   0.0003532619999973008   0.0019681089999998846 
8400     0.015265257999999449    0.0008673409999992998   0.00014389800000103037  0.002044087000001582  
8500     0.02954801300000298     0.0008323039999993398   0.00014645999999984838  0.002032457999998627  
8600     0.007875400999999727    0.0008554409999987911   0.00013762400000061348  0.0019422959999992884 
8700     0.05930323600000165     0.0009348140000007277   0.00014430999999959226  0.002182651999998342  
8800     0.021314973999999154    0.0008809979999995221   0.00014924600000298938  0.002152974999997781  
8900     0.009592308999998522    0.0008882959999994      0.00017152000000209     0.002483649000001975  
9000     1.244299999925147e-05   0.0012623870000005866   0.0001843430000008084   0.002268671999999583  
9100     0.0009921179999992091   0.001004294000001238    0.00017061699999842972  0.0021764739999987626 
9200     0.03655641499999973     0.0009112269999995704   0.00016491299999898956  0.0025505159999994476 
9300     0.657684162999999       0.0011366260000009731   0.0003244640000019672   0.003234564999999634  
9400     0.04072951300000227     0.0012043360000006942   0.00019950299999749177  0.0027314880000020025 
9500     0.011906535000001384    0.0009835570000049643   0.0001671610000002488   0.0038636449999955857 
9600     0.0011545320000010406   0.0012001790000013557   0.00018097499999925049  0.002441496000002985  
9700     0.003756961000000558    0.0016828409999973815   0.00017541900000139776  0.002925025999999775  
9800     0.5309358760000009      0.0013239829999989183   0.0001699370000025624   0.0029932180000002973 
9900     0.020176265000003468    0.0010319769999966866   0.0002700460000042426   0.00241320300000325   
10000  0.0024638619999990397   0.03098811899999987     0.00019105399999830297  0.00245908300000508   
-----------------------------------------------------------------------------------------------------
